,author_type,floor,floors_count,rooms_count,total_meters,price,lat,lon
0,developer,27.0,31.0,1.0,25.2,9918606,55.7358077,37.7644261
1,unknown,5.0,27.0,3.0,77.72,20700000,55.729923,37.71648
2,developer,7.0,31.0,1.0,25.2,9888489,55.7358077,37.7644261
3,real_estate_agent,6.0,28.0,1.0,34.0,19990000,55.7516085,37.6992828
4,developer,25.0,31.0,1.0,24.0,9687707,55.7358077,37.7644261
5,real_estate_agent,13.0,23.0,2.0,48.0,21050000,55.7585445,37.685285
6,developer,11.0,31.0,1.0,37.8,13515104,55.7358077,37.7644261
7,realtor,5.0,26.0,1.0,41.7,20000000,55.7585445,37.685285
8,developer,14.0,24.0,1.0,40.2,14493317,55.7358077,37.7644261
9,real_estate_agent,19.0,27.0,2.0,60.0,23500000,55.7515232,37.7036117
10,developer,8.0,9.0,1.0,38.3,14555941,55.7358077,37.7644261
11,real_estate_agent,12.0,28.0,4.0,111.0,45000000,55.7516085,37.6992828
12,developer,7.0,24.0,1.0,33.2,12373000,55.7358077,37.7644261
13,real_estate_agent,2.0,27.0,2.0,70.0,33500000,55.7519627,37.7020754
14,developer,23.0,24.0,2.0,49.9,18194220,55.7358077,37.7644261
15,real_estate_agent,3.0,26.0,2.0,36.0,16790000,55.7547176,37.6911063
16,developer,27.0,31.0,2.0,51.9,17946520,55.7358077,37.7644261
17,homeowner,14.0,16.0,2.0,51.5,18850000,55.7438805,37.72010384402178
18,developer,24.0,24.0,1.0,33.9,13022144,55.7358077,37.7644261
19,real_estate_agent,9.0,10.0,3.0,84.3,24000000,55.743918449999995,37.72117657711267
20,developer,19.0,24.0,1.0,33.8,12876010,55.7358077,37.7644261
21,realtor,22.0,26.0,1.0,37.5,16900000,55.75081925,37.706651667974654
22,developer,20.0,31.0,1.0,37.4,13535979,55.7358077,37.7644261
23,realtor,7.0,28.0,2.0,53.5,27900000,55.7516085,37.6992828
24,developer,18.0,24.0,1.0,37.8,13620515,55.7358077,37.7644261
25,real_estate_agent,24.0,30.0,1.0,40.0,18000000,55.75081925,37.706651667974654
26,developer,24.0,24.0,1.0,32.0,12419770,55.7358077,37.7644261
27,real_estate_agent,14.0,24.0,3.0,132.0,70000000,55.7456706,37.704944
28,developer,19.0,31.0,1.0,43.0,15391455,55.7358077,37.7644261
29,real_estate_agent,5.0,28.0,1.0,37.0,19450000,55.7516085,37.6992828
30,developer,30.0,31.0,3.0,73.1,23428074,55.7358077,37.7644261
31,realtor,3.0,29.0,3.0,80.3,38000000,55.7515232,37.7036117
32,developer,4.0,24.0,3.0,83.4,27102933,55.7358077,37.7644261
33,homeowner,7.0,16.0,1.0,40.0,20500000,55.7509638,37.6992843
34,developer,4.0,24.0,1.0,40.0,14851457,55.7358077,37.7644261
35,real_estate_agent,16.0,26.0,1.0,41.8,21000000,55.7585445,37.685285
36,developer,24.0,24.0,1.0,35.6,13724810,55.7358077,37.7644261
37,developer,23.0,31.0,1.0,37.7,13652066,55.7358077,37.7644261
38,realtor,3.0,5.0,3.0,66.3,16000000,55.75234,37.7163274
39,developer,20.0,31.0,2.0,52.5,17625897,55.7358077,37.7644261
40,developer,9.0,24.0,3.0,76.9,24737854,55.7358077,37.7644261
41,realtor,3.0,10.0,4.0,114.3,24000000,55.7645469,37.7862108
42,developer,25.0,31.0,2.0,52.0,17028183,55.7358077,37.7644261
43,realtor,4.0,8.0,3.0,79.8,26400000,55.7564826,37.715506
44,developer,12.0,31.0,2.0,56.8,18300198,55.7358077,37.7644261
45,realtor,5.0,9.0,2.0,45.0,11800000,55.75797955,37.75870626204684
46,developer,26.0,31.0,2.0,49.7,17809458,55.7358077,37.7644261
47,realtor,7.0,12.0,2.0,48.0,13150000,55.75774215,37.713732781550206
48,developer,24.0,24.0,1.0,22.5,9378020,55.7358077,37.7644261
49,real_estate_agent,1.0,24.0,2.0,35.7,14000000,55.7585445,37.685285
50,developer,20.0,31.0,1.0,33.6,12679351,55.7358077,37.7644261
51,developer,2.0,9.0,2.0,56.8,19431586,55.7358077,37.7644261
52,realtor,7.0,9.0,2.0,36.8,11100000,55.7577103,37.7586682
53,developer,19.0,24.0,1.0,19.9,8714504,55.7358077,37.7644261
54,realtor,9.0,12.0,2.0,55.4,17800000,55.7507611,37.719495632184675
55,developer,12.0,31.0,1.0,34.5,12795637,55.7358077,37.7644261
56,realtor,21.0,23.0,2.0,47.6,20500000,55.7585445,37.685285
57,developer,27.0,31.0,2.0,57.1,18732376,55.7358077,37.7644261
58,realtor,6.0,12.0,2.0,49.5,13700000,55.7443146,37.70279535099338
59,developer,13.0,24.0,1.0,19.4,8889700,55.7358077,37.7644261
60,real_estate_agent,9.0,12.0,3.0,92.0,25000000,55.7507611,37.719495632184675
61,developer,7.0,31.0,3.0,71.2,22393671,55.7358077,37.7644261
62,developer,15.0,24.0,3.0,77.2,23719506,55.7358077,37.7644261
63,realtor,3.0,8.0,3.0,83.7,19000000,55.7593651,37.7593466
64,developer,7.0,31.0,1.0,41.1,14629502,55.7358077,37.7644261
65,real_estate_agent,4.0,5.0,3.0,63.0,17500000,55.750233699999995,37.71624108756915
66,developer,18.0,24.0,3.0,88.4,27125461,55.7358077,37.7644261
67,real_estate_agent,2.0,8.0,4.0,116.0,29300000,55.744907850000004,37.7209210918536
68,developer,24.0,24.0,1.0,42.6,15367075,55.7358077,37.7644261
69,developer,6.0,24.0,1.0,42.3,14900766,55.7358077,37.7644261
70,real_estate_agent,7.0,27.0,4.0,97.2,33000000,55.7509339,37.70581703825712
71,developer,2.0,9.0,1.0,41.6,15080921,55.7358077,37.7644261
72,realtor,2.0,12.0,2.0,45.9,13800000,55.7621599,37.7739301
73,developer,17.0,31.0,2.0,58.3,19126051,55.7358077,37.7644261
74,realtor,3.0,5.0,2.0,43.6,14900000,55.75003675,37.71553404428512
75,developer,24.0,31.0,1.0,35.9,13139685,55.7358077,37.7644261
76,developer,3.0,24.0,2.0,73.7,23480908,55.7358077,37.7644261
77,realtor,19.0,25.0,2.0,50.0,24000000,55.7585445,37.685285
78,developer,2.0,9.0,1.0,38.7,14257010,55.7358077,37.7644261
79,realtor,14.0,23.0,2.0,96.8,46700000,55.7518984,37.697459048525346
80,developer,5.0,9.0,1.0,34.4,13361531,55.7358077,37.7644261
81,realtor,12.0,28.0,2.0,39.8,31000000,55.7516085,37.6992828
82,developer,22.0,24.0,2.0,65.5,20222561,55.7358077,37.7644261
83,real_estate_agent,3.0,7.0,3.0,82.9,22600000,55.7481862,37.7037741
84,developer,6.0,9.0,2.0,64.8,22400762,55.7358077,37.7644261
85,realtor,10.0,28.0,3.0,83.5,58000000,55.7516085,37.6992828
86,developer,12.0,31.0,2.0,55.1,18059788,55.7358077,37.7644261
87,real_estate_agent,22.0,23.0,3.0,79.0,38700000,55.7585445,37.685285
88,developer,23.0,24.0,2.0,55.8,18505959,55.7358077,37.7644261
89,realtor,25.0,27.0,1.0,21.0,13500000,55.7515232,37.7036117
90,developer,4.0,24.0,1.0,41.4,14431170,55.7358077,37.7644261
91,developer,17.0,31.0,2.0,62.0,20506603,55.7358077,37.7644261
92,developer,7.0,24.0,1.0,36.9,14497948,55.7358077,37.7644261
93,realtor,27.0,27.0,3.0,116.6,43500000,55.7515232,37.7036117
94,developer,3.0,31.0,2.0,51.3,17636862,55.7358077,37.7644261
95,realtor,17.0,29.0,1.0,35.1,19000000,55.7515232,37.7036117
96,developer,23.0,24.0,1.0,19.9,9025666,55.7358077,37.7644261
97,real_estate_agent,3.0,26.0,2.0,59.4,23000000,55.7502515,37.6846152
98,developer,2.0,9.0,1.0,36.6,13519825,55.7358077,37.7644261
99,developer,2.0,24.0,2.0,58.0,19726583,55.7358077,37.7644261
100,real_estate_agent,22.0,26.0,2.0,66.0,25900000,55.755748,37.7054757
101,developer,6.0,24.0,1.0,20.6,9404701,55.7358077,37.7644261
102,realtor,15.0,26.0,1.0,26.7,13900000,55.75081925,37.706651667974654
103,developer,3.0,31.0,1.0,26.6,10519974,55.7358077,37.7644261
104,realtor,9.0,29.0,2.0,54.2,26000000,55.7515232,37.7036117
105,,2.0,26.0,3.0,96.4,26953440,55.755748,37.7054757
106,realtor,1.0,20.0,1.0,31.5,16200000,55.7516085,37.6992828
107,realtor,2.0,8.0,4.0,100.3,28000000,55.7462367,37.7209417
108,realtor,2.0,29.0,3.0,79.0,39500000,55.7515232,37.7036117
109,real_estate_agent,5.0,5.0,4.0,71.8,19000000,55.7502873,37.7183684
110,real_estate_agent,7.0,17.0,4.0,124.0,44200000,55.7516274,37.7178488
111,realtor,4.0,9.0,1.0,38.5,12990000,55.7574398,37.75862965
112,realtor,24.0,27.0,2.0,55.8,25999999,55.7511034,37.70492647153816
113,realtor,10.0,27.0,1.0,30.0,15000000,55.7515232,37.7036117
114,realtor,16.0,26.0,1.0,37.5,20000000,55.75081925,37.706651667974654
115,realtor,13.0,16.0,2.0,51.0,14500000,55.7468976,37.70291173017739
116,unknown,7.0,9.0,2.0,44.3,12990000,55.75277065,37.71106940442228
117,realtor,7.0,9.0,2.0,45.0,11300000,55.758104349999996,37.75985672357663
118,realtor,6.0,9.0,1.0,31.3,10600000,55.75277065,37.71106940442228
119,real_estate_agent,2.0,3.0,1.0,15.9,4400000,55.74615045,37.70557476834783
120,realtor,7.0,8.0,4.0,84.0,19800000,55.744907850000004,37.7209210918536
121,realtor,6.0,9.0,2.0,59.7,17500000,55.7543394,37.7100573
122,homeowner,5.0,10.0,3.0,60.6,26500000,55.7585445,37.685285
123,real_estate_agent,5.0,5.0,2.0,43.9,11900000,55.75003675,37.71553404428512
124,unknown,4.0,5.0,4.0,87.6,18500000,55.750681,37.7173684
125,unknown,2.0,6.0,2.0,60.0,14000000,55.749921900000004,37.70485587295686
126,realtor,6.0,9.0,2.0,36.5,13500000,55.7574398,37.75862965
127,realtor,9.0,28.0,2.0,60.0,30000000,55.7516085,37.6992828
128,homeowner,1.0,16.0,3.0,60.4,16900000,55.7468976,37.70291173017739
129,unknown,4.0,5.0,2.0,44.0,13500000,55.75003675,37.71553404428512
130,realtor,2.0,5.0,2.0,42.8,12000000,55.755597550000005,37.718800678182234
131,realtor,10.0,10.0,1.0,19.7,10350000,55.7585445,37.685285
132,homeowner,20.0,21.0,2.0,93.0,50000000,55.7456706,37.704944
133,homeowner,9.0,20.0,3.0,85.0,29495000,55.7585445,37.685285
134,homeowner,10.0,27.0,3.0,97.3,42000000,55.7509339,37.70581703825712
135,real_estate_agent,2.0,3.0,1.0,18.9,5000000,55.74615045,37.70557476834783
136,realtor,13.0,14.0,1.0,38.0,10700000,55.7453464,37.70236578673334
137,realtor,10.0,27.0,4.0,97.3,42000000,55.7509339,37.70581703825712
138,homeowner,1.0,5.0,2.0,58.0,20000000,55.7582584,37.717346199999994
139,realtor,3.0,5.0,4.0,103.0,23250000,55.7547558,37.7190943
140,realtor,21.0,23.0,2.0,51.0,23800000,55.7585445,37.685285
141,homeowner,15.0,21.0,2.0,80.6,27300000,55.7456706,37.704944
142,realtor,9.0,23.0,1.0,38.0,16700000,55.7585445,37.685285
143,realtor,9.0,28.0,1.0,25.0,13000000,55.7516085,37.6992828
144,homeowner,4.0,8.0,4.0,105.0,26800000,55.7593651,37.7593466
145,unknown,3.0,9.0,3.0,51.3,14700000,55.744895799999995,37.70545212360704
146,homeowner,14.0,28.0,1.0,24.6,11500000,55.75081925,37.706651667974654
147,unknown,3.0,8.0,3.0,84.0,19000000,55.7593651,37.7593466
148,homeowner,3.0,28.0,2.0,72.0,46500000,55.7516085,37.6992828
149,real_estate_agent,3.0,17.0,2.0,63.6,35000000,55.7523091,37.6992687
150,realtor,3.0,23.0,1.0,24.2,11750000,55.753028349999994,37.70907553983773
151,realtor,17.0,23.0,3.0,89.0,37500000,55.7585445,37.685285
152,homeowner,9.0,26.0,1.0,30.1,16900000,55.755748,37.7054757
153,realtor,11.0,33.0,1.0,35.7,16400000,55.7585445,37.685285
154,homeowner,18.0,27.0,2.0,58.7,30800000,55.7519627,37.7020754
155,homeowner,10.0,21.0,2.0,59.0,31000000,55.7456706,37.704944
156,homeowner,7.0,20.0,3.0,75.6,44000000,55.7516085,37.6992828
157,homeowner,4.0,9.0,3.0,57.4,20000000,55.744895799999995,37.70545212360704
158,homeowner,3.0,23.0,1.0,27.9,12800000,55.7585445,37.685285
159,homeowner,7.0,28.0,2.0,50.0,29400000,55.7516085,37.6992828
160,realtor,19.0,23.0,3.0,84.8,31500000,55.75081925,37.706651667974654
161,homeowner,7.0,14.0,3.0,87.0,21500000,55.7453464,37.70236578673334
162,homeowner,11.0,27.0,2.0,38.3,16700000,55.7511034,37.70492647153816
163,homeowner,6.0,33.0,3.0,80.0,29900000,55.7598466,37.7382543
164,homeowner,4.0,16.0,1.0,32.5,18700000,55.7509638,37.6992843
165,realtor,7.0,23.0,2.0,48.0,21500000,55.7585445,37.685285
166,realtor,2.0,21.0,2.0,70.0,32000000,55.7585445,37.685285
