,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
0,0.0,31.0,1.0,25.2,9918606,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,9125034.698307838
1,0.0,27.0,3.0,77.72,20700000,55.729923,37.71648,False,False,False,False,False,345245.6562302672,26832492.402216367
2,0.0,31.0,1.0,25.2,9888489,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,9125034.698307838
3,0.0,28.0,1.0,34.0,19990000,55.7516085,37.6992828,False,False,True,False,False,506086.02613571676,17206924.88861437
4,0.0,31.0,1.0,24.0,9687707,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,8690509.236483656
5,0.0,23.0,2.0,48.0,21050000,55.7585445,37.685285,False,False,True,False,False,451390.6242545738,21666749.96421954
6,0.0,31.0,1.0,37.8,13515104,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13687552.047461756
7,0.0,26.0,1.0,41.7,20000000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,18822989.031415727
8,0.0,24.0,1.0,40.2,14493317,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,14556602.971110124
9,0.0,27.0,2.0,60.0,23500000,55.7515232,37.7036117,False,False,True,False,False,477996.38744482177,28679783.246689305
10,0.0,9.0,1.0,38.3,14555941,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13868604.323221833
11,0.0,28.0,4.0,111.0,45000000,55.7516085,37.6992828,False,False,True,False,False,506086.02613571676,56175548.90106456
12,0.0,24.0,1.0,33.2,12373000,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12021871.110469058
13,0.0,27.0,2.0,70.0,33500000,55.7519627,37.7020754,False,False,True,False,False,482535.1687160086,33777461.810120605
14,0.0,24.0,2.0,49.9,18194220,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,18069017.1208556
15,0.0,26.0,2.0,36.0,16790000,55.7547176,37.6911063,False,False,True,False,False,481647.9799720594,17339327.278994136
16,0.0,31.0,2.0,51.9,17946520,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,18793226.223895904
17,0.0,16.0,2.0,51.5,18850000,55.7438805,37.72010384402178,True,False,False,False,False,283635.98628919496,14607253.29389354
18,0.0,24.0,1.0,33.9,13022144,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12275344.296533164
19,0.0,10.0,3.0,84.3,24000000,55.74391845,37.72117657711267,False,False,True,False,False,283635.98628919496,23910513.644179136
20,0.0,24.0,1.0,33.8,12876010,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12239133.841381148
21,0.0,26.0,1.0,37.5,16900000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,15962543.8734692
22,0.0,31.0,1.0,37.4,13535979,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13542710.226853697
23,0.0,28.0,2.0,53.5,27900000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,27075602.398260847
24,0.0,24.0,1.0,37.8,13620515,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13687552.047461756
25,0.0,30.0,1.0,40.0,18000000,55.75081925,37.706651667974654,False,False,True,False,False,425667.83662584535,17026713.465033814
26,0.0,24.0,1.0,32.0,12419770,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,11587345.648644874
27,0.0,24.0,3.0,132.0,70000000,55.7456706,37.704944,False,False,True,False,False,329798.6573330014,43533422.76795618
28,0.0,31.0,1.0,43.0,15391455,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,15570495.71536655
29,0.0,28.0,1.0,37.0,19450000,55.7516085,37.6992828,False,False,True,False,False,506086.02613571676,18725182.96702152
30,0.0,31.0,3.0,73.1,23428074,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,26469842.71612313
31,0.0,29.0,3.0,80.3,38000000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,38383109.91181919
