,author_type,url,floor,floors_count,rooms_count,total_meters,price,district,lat,lon
0,developer,https://www.cian.ru/sale/flat/298814391/,27.0,31.0,1.0,25.2,9918606,Перово,55.7358077,37.7644261
1,unknown,https://www.cian.ru/sale/flat/299810629/,5.0,27.0,3.0,77.72,20700000,Нижегородский,55.729923,37.71648
2,developer,https://www.cian.ru/sale/flat/297334700/,7.0,31.0,1.0,25.2,9888489,Перово,55.7358077,37.7644261
3,real_estate_agent,https://www.cian.ru/sale/flat/299108822/,6.0,28.0,1.0,34.0,19990000,Лефортово,55.7516085,37.6992828
4,developer,https://www.cian.ru/sale/flat/298814407/,25.0,31.0,1.0,24.0,9687707,Перово,55.7358077,37.7644261
5,real_estate_agent,https://www.cian.ru/sale/flat/299093186/,13.0,23.0,2.0,48.0,21050000,Лефортово,55.7585445,37.685285
6,developer,https://www.cian.ru/sale/flat/297334698/,11.0,31.0,1.0,37.8,13515104,Перово,55.7358077,37.7644261
7,realtor,https://www.cian.ru/sale/flat/299899863/,5.0,26.0,1.0,41.7,20000000,Лефортово,55.7585445,37.685285
8,developer,https://www.cian.ru/sale/flat/296760033/,14.0,24.0,1.0,40.2,14493317,Перово,55.7358077,37.7644261
9,real_estate_agent,https://www.cian.ru/sale/flat/296649512/,19.0,27.0,2.0,60.0,23500000,Лефортово,55.7515232,37.7036117
10,developer,https://www.cian.ru/sale/flat/297221711/,8.0,9.0,1.0,38.3,14555941,Перово,55.7358077,37.7644261
11,real_estate_agent,https://www.cian.ru/sale/flat/300068008/,12.0,28.0,4.0,111.0,45000000,Лефортово,55.7516085,37.6992828
12,developer,https://www.cian.ru/sale/flat/298814433/,7.0,24.0,1.0,33.2,12373000,Перово,55.7358077,37.7644261
13,real_estate_agent,https://www.cian.ru/sale/flat/299577441/,2.0,27.0,2.0,70.0,33500000,Лефортово,55.7519627,37.7020754
14,developer,https://www.cian.ru/sale/flat/297464673/,23.0,24.0,2.0,49.9,18194220,Перово,55.7358077,37.7644261
15,real_estate_agent,https://www.cian.ru/sale/flat/281601853/,3.0,26.0,2.0,36.0,16790000,Лефортово,55.7547176,37.6911063
16,developer,https://www.cian.ru/sale/flat/296846990/,27.0,31.0,2.0,51.9,17946520,Перово,55.7358077,37.7644261
17,homeowner,https://www.cian.ru/sale/flat/300012303/,14.0,16.0,2.0,51.5,18850000,Лефортово,55.7438805,37.72010384402178
18,developer,https://www.cian.ru/sale/flat/298814424/,24.0,24.0,1.0,33.9,13022144,Перово,55.7358077,37.7644261
19,real_estate_agent,https://www.cian.ru/sale/flat/299252104/,9.0,10.0,3.0,84.3,24000000,Лефортово,55.743918449999995,37.72117657711267
20,developer,https://www.cian.ru/sale/flat/299748959/,19.0,24.0,1.0,33.8,12876010,Перово,55.7358077,37.7644261
21,realtor,https://www.cian.ru/sale/flat/300016311/,22.0,26.0,1.0,37.5,16900000,Лефортово,55.75081925,37.706651667974654
22,developer,https://www.cian.ru/sale/flat/296760067/,20.0,31.0,1.0,37.4,13535979,Перово,55.7358077,37.7644261
23,realtor,https://www.cian.ru/sale/flat/298387187/,7.0,28.0,2.0,53.5,27900000,Лефортово,55.7516085,37.6992828
24,developer,https://www.cian.ru/sale/flat/298814452/,18.0,24.0,1.0,37.8,13620515,Перово,55.7358077,37.7644261
25,real_estate_agent,https://www.cian.ru/sale/flat/296276878/,24.0,30.0,1.0,40.0,18000000,Лефортово,55.75081925,37.706651667974654
26,developer,https://www.cian.ru/sale/flat/296791033/,24.0,24.0,1.0,32.0,12419770,Перово,55.7358077,37.7644261
27,real_estate_agent,https://www.cian.ru/sale/flat/296404701/,14.0,24.0,3.0,132.0,70000000,Лефортово,55.7456706,37.704944
28,developer,https://www.cian.ru/sale/flat/298814482/,19.0,31.0,1.0,43.0,15391455,Перово,55.7358077,37.7644261
29,real_estate_agent,https://www.cian.ru/sale/flat/295896231/,5.0,28.0,1.0,37.0,19450000,Лефортово,55.7516085,37.6992828
30,developer,https://www.cian.ru/sale/flat/298814460/,30.0,31.0,3.0,73.1,23428074,Перово,55.7358077,37.7644261
31,realtor,https://www.cian.ru/sale/flat/292899005/,3.0,29.0,3.0,80.3,38000000,Лефортово,55.7515232,37.7036117
32,developer,https://www.cian.ru/sale/flat/296749179/,4.0,24.0,3.0,83.4,27102933,Перово,55.7358077,37.7644261
33,homeowner,https://www.cian.ru/sale/flat/300062954/,7.0,16.0,1.0,40.0,20500000,Лефортово,55.7509638,37.6992843
34,developer,https://www.cian.ru/sale/flat/298814421/,4.0,24.0,1.0,40.0,14851457,Перово,55.7358077,37.7644261
35,real_estate_agent,https://www.cian.ru/sale/flat/299615386/,16.0,26.0,1.0,41.8,21000000,Лефортово,55.7585445,37.685285
36,developer,https://www.cian.ru/sale/flat/299765863/,24.0,24.0,1.0,35.6,13724810,Перово,55.7358077,37.7644261
37,developer,https://www.cian.ru/sale/flat/296847000/,23.0,31.0,1.0,37.7,13652066,Перово,55.7358077,37.7644261
38,realtor,https://www.cian.ru/sale/flat/295992335/,3.0,5.0,3.0,66.3,16000000,Лефортово,55.75234,37.7163274
39,developer,https://www.cian.ru/sale/flat/296749050/,20.0,31.0,2.0,52.5,17625897,Перово,55.7358077,37.7644261
41,developer,https://www.cian.ru/sale/flat/296946328/,9.0,24.0,3.0,76.9,24737854,Перово,55.7358077,37.7644261
42,realtor,https://www.cian.ru/sale/flat/299943814/,3.0,10.0,4.0,114.3,24000000,Перово,55.7645469,37.7862108
43,developer,https://www.cian.ru/sale/flat/298762323/,25.0,31.0,2.0,52.0,17028183,Перово,55.7358077,37.7644261
44,realtor,https://www.cian.ru/sale/flat/299233500/,4.0,8.0,3.0,79.8,26400000,Лефортово,55.7564826,37.715506
45,developer,https://www.cian.ru/sale/flat/298814473/,12.0,31.0,2.0,56.8,18300198,Перово,55.7358077,37.7644261
46,realtor,https://www.cian.ru/sale/flat/291553223/,5.0,9.0,2.0,45.0,11800000,Перово,55.75797955,37.75870626204684
47,developer,https://www.cian.ru/sale/flat/299765867/,26.0,31.0,2.0,49.7,17809458,Перово,55.7358077,37.7644261
48,realtor,https://www.cian.ru/sale/flat/298898247/,7.0,12.0,2.0,48.0,13150000,Лефортово,55.75774215,37.713732781550206
49,developer,https://www.cian.ru/sale/flat/298038456/,24.0,24.0,1.0,22.5,9378020,Перово,55.7358077,37.7644261
50,real_estate_agent,https://www.cian.ru/sale/flat/297913934/,1.0,24.0,2.0,35.7,14000000,Лефортово,55.7585445,37.685285
51,developer,https://www.cian.ru/sale/flat/296760069/,20.0,31.0,1.0,33.6,12679351,Перово,55.7358077,37.7644261
53,developer,https://www.cian.ru/sale/flat/299748962/,2.0,9.0,2.0,56.8,19431586,Перово,55.7358077,37.7644261
54,realtor,https://www.cian.ru/sale/flat/299847438/,7.0,9.0,2.0,36.8,11100000,Перово,55.7577103,37.7586682
55,developer,https://www.cian.ru/sale/flat/296760015/,19.0,24.0,1.0,19.9,8714504,Перово,55.7358077,37.7644261
56,realtor,https://www.cian.ru/sale/flat/295856104/,9.0,12.0,2.0,55.4,17800000,Лефортово,55.7507611,37.719495632184675
57,developer,https://www.cian.ru/sale/flat/298814375/,12.0,31.0,1.0,34.5,12795637,Перово,55.7358077,37.7644261
58,realtor,https://www.cian.ru/sale/flat/300028084/,21.0,23.0,2.0,47.6,20500000,Лефортово,55.7585445,37.685285
59,developer,https://www.cian.ru/sale/flat/298814335/,27.0,31.0,2.0,57.1,18732376,Перово,55.7358077,37.7644261
60,realtor,https://www.cian.ru/sale/flat/297003346/,6.0,12.0,2.0,49.5,13700000,Лефортово,55.7443146,37.70279535099338
61,developer,https://www.cian.ru/sale/flat/296846984/,13.0,24.0,1.0,19.4,8889700,Перово,55.7358077,37.7644261
62,real_estate_agent,https://www.cian.ru/sale/flat/296993087/,9.0,12.0,3.0,92.0,25000000,Лефортово,55.7507611,37.719495632184675
63,developer,https://www.cian.ru/sale/flat/298814331/,7.0,31.0,3.0,71.2,22393671,Перово,55.7358077,37.7644261
65,developer,https://www.cian.ru/sale/flat/298539707/,15.0,24.0,3.0,77.2,23719506,Перово,55.7358077,37.7644261
66,realtor,https://www.cian.ru/sale/flat/298436943/,3.0,8.0,3.0,83.7,19000000,Перово,55.7593651,37.7593466
67,developer,https://www.cian.ru/sale/flat/298814360/,7.0,31.0,1.0,41.1,14629502,Перово,55.7358077,37.7644261
68,real_estate_agent,https://www.cian.ru/sale/flat/299180637/,4.0,5.0,3.0,63.0,17500000,Лефортово,55.750233699999995,37.71624108756915
69,developer,https://www.cian.ru/sale/flat/298814410/,18.0,24.0,3.0,88.4,27125461,Перово,55.7358077,37.7644261
70,real_estate_agent,https://www.cian.ru/sale/flat/297396489/,2.0,8.0,4.0,116.0,29300000,Лефортово,55.744907850000004,37.7209210918536
71,developer,https://www.cian.ru/sale/flat/298814417/,24.0,24.0,1.0,42.6,15367075,Перово,55.7358077,37.7644261
73,developer,https://www.cian.ru/sale/flat/297334690/,6.0,24.0,1.0,42.3,14900766,Перово,55.7358077,37.7644261
74,real_estate_agent,https://www.cian.ru/sale/flat/299724610/,7.0,27.0,4.0,97.2,33000000,Лефортово,55.7509339,37.70581703825712
75,developer,https://www.cian.ru/sale/flat/299748963/,2.0,9.0,1.0,41.6,15080921,Перово,55.7358077,37.7644261
76,realtor,https://www.cian.ru/sale/flat/298342770/,2.0,12.0,2.0,45.9,13800000,Перово,55.7621599,37.7739301
77,developer,https://www.cian.ru/sale/flat/298814470/,17.0,31.0,2.0,58.3,19126051,Перово,55.7358077,37.7644261
78,realtor,https://www.cian.ru/sale/flat/299610374/,3.0,5.0,2.0,43.6,14900000,Лефортово,55.75003675,37.71553404428512
79,developer,https://www.cian.ru/sale/flat/298814494/,24.0,31.0,1.0,35.9,13139685,Перово,55.7358077,37.7644261
81,developer,https://www.cian.ru/sale/flat/298814415/,3.0,24.0,2.0,73.7,23480908,Перово,55.7358077,37.7644261
82,realtor,https://www.cian.ru/sale/flat/299032030/,19.0,25.0,2.0,50.0,24000000,Лефортово,55.7585445,37.685285
83,developer,https://www.cian.ru/sale/flat/297334694/,2.0,9.0,1.0,38.7,14257010,Перово,55.7358077,37.7644261
84,realtor,https://www.cian.ru/sale/flat/293912417/,14.0,23.0,2.0,96.8,46700000,Лефортово,55.7518984,37.697459048525346
85,developer,https://www.cian.ru/sale/flat/297334695/,5.0,9.0,1.0,34.4,13361531,Перово,55.7358077,37.7644261
86,realtor,https://www.cian.ru/sale/flat/299965288/,12.0,28.0,2.0,39.8,31000000,Лефортово,55.7516085,37.6992828
87,developer,https://www.cian.ru/sale/flat/299037877/,22.0,24.0,2.0,65.5,20222561,Перово,55.7358077,37.7644261
88,real_estate_agent,https://www.cian.ru/sale/flat/298698886/,3.0,7.0,3.0,82.9,22600000,Лефортово,55.7481862,37.7037741
89,developer,https://www.cian.ru/sale/flat/298814507/,6.0,9.0,2.0,64.8,22400762,Перово,55.7358077,37.7644261
90,realtor,https://www.cian.ru/sale/flat/299966772/,10.0,28.0,3.0,83.5,58000000,Лефортово,55.7516085,37.6992828
91,developer,https://www.cian.ru/sale/flat/298814340/,12.0,31.0,2.0,55.1,18059788,Перово,55.7358077,37.7644261
92,real_estate_agent,https://www.cian.ru/sale/flat/298618651/,22.0,23.0,3.0,79.0,38700000,Лефортово,55.7585445,37.685285
93,developer,https://www.cian.ru/sale/flat/298814448/,23.0,24.0,2.0,55.8,18505959,Перово,55.7358077,37.7644261
94,realtor,https://www.cian.ru/sale/flat/298979502/,25.0,27.0,1.0,21.0,13500000,Лефортово,55.7515232,37.7036117
95,developer,https://www.cian.ru/sale/flat/298814451/,4.0,24.0,1.0,41.4,14431170,Перово,55.7358077,37.7644261
96,developer,https://www.cian.ru/sale/flat/297779710/,17.0,31.0,2.0,62.0,20506603,Перово,55.7358077,37.7644261
97,developer,https://www.cian.ru/sale/flat/297566818/,7.0,24.0,1.0,36.9,14497948,Перово,55.7358077,37.7644261
98,realtor,https://www.cian.ru/sale/flat/297249128/,27.0,27.0,3.0,116.6,43500000,Лефортово,55.7515232,37.7036117
99,developer,https://www.cian.ru/sale/flat/298401547/,3.0,31.0,2.0,51.3,17636862,Перово,55.7358077,37.7644261
100,realtor,https://www.cian.ru/sale/flat/298312705/,17.0,29.0,1.0,35.1,19000000,Лефортово,55.7515232,37.7036117
101,developer,https://www.cian.ru/sale/flat/296791021/,23.0,24.0,1.0,19.9,9025666,Перово,55.7358077,37.7644261
102,real_estate_agent,https://www.cian.ru/sale/flat/296575207/,3.0,26.0,2.0,59.4,23000000,Лефортово,55.7502515,37.6846152
103,developer,https://www.cian.ru/sale/flat/299982358/,2.0,9.0,1.0,36.6,13519825,Перово,55.7358077,37.7644261
105,developer,https://www.cian.ru/sale/flat/298814446/,2.0,24.0,2.0,58.0,19726583,Перово,55.7358077,37.7644261
106,real_estate_agent,https://www.cian.ru/sale/flat/297471060/,22.0,26.0,2.0,66.0,25900000,Лефортово,55.755748,37.7054757
107,developer,https://www.cian.ru/sale/flat/298814435/,6.0,24.0,1.0,20.6,9404701,Перово,55.7358077,37.7644261
108,realtor,https://www.cian.ru/sale/flat/297084423/,15.0,26.0,1.0,26.7,13900000,Лефортово,55.75081925,37.706651667974654
109,developer,https://www.cian.ru/sale/flat/299982352/,3.0,31.0,1.0,26.6,10519974,Перово,55.7358077,37.7644261
110,realtor,https://www.cian.ru/sale/flat/297941454/,9.0,29.0,2.0,54.2,26000000,Лефортово,55.7515232,37.7036117
111,,https://www.cian.ru/sale/flat/299702512/,2.0,26.0,3.0,96.4,26953440,Лефортово,55.755748,37.7054757
112,realtor,https://www.cian.ru/sale/flat/299737160/,1.0,20.0,1.0,31.5,16200000,Лефортово,55.7516085,37.6992828
113,realtor,https://www.cian.ru/sale/flat/300022980/,2.0,8.0,4.0,100.3,28000000,Лефортово,55.7462367,37.7209417
114,realtor,https://www.cian.ru/sale/flat/299619257/,2.0,29.0,3.0,79.0,39500000,Лефортово,55.7515232,37.7036117
115,real_estate_agent,https://www.cian.ru/sale/flat/294418297/,5.0,5.0,4.0,71.8,19000000,Лефортово,55.7502873,37.7183684
116,real_estate_agent,https://www.cian.ru/sale/flat/296215070/,7.0,17.0,4.0,124.0,44200000,Лефортово,55.7516274,37.7178488
117,realtor,https://www.cian.ru/sale/flat/295042808/,4.0,9.0,1.0,38.5,12990000,Перово,55.7574398,37.75862965
118,realtor,https://www.cian.ru/sale/flat/299256702/,24.0,27.0,2.0,55.8,25999999,Лефортово,55.7511034,37.70492647153816
119,realtor,https://www.cian.ru/sale/flat/295103384/,10.0,27.0,1.0,30.0,15000000,Лефортово,55.7515232,37.7036117
120,realtor,https://www.cian.ru/sale/flat/299915294/,16.0,26.0,1.0,37.5,20000000,Лефортово,55.75081925,37.706651667974654
121,realtor,https://www.cian.ru/sale/flat/298953048/,13.0,16.0,2.0,51.0,14500000,Лефортово,55.7468976,37.70291173017739
122,unknown,https://www.cian.ru/sale/flat/297217007/,7.0,9.0,2.0,44.3,12990000,Лефортово,55.75277065,37.71106940442228
